region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
Canada,CA,APJAQoSCwuA,The Beatles - Now And Then - The Last Beatles Song (Short Film),571228,54301,TheBeatlesVEVO,2023-11-01T19:30:00Z,UC4dqLAF7yT-_DqeYisQ001w,PT12M25S
Canada,CA,0-kASUEEXn8,Mario Kart 8 Deluxe - Booster Course Pass Wave 6 - Course Overview,867043,51664,Nintendo of America,2023-11-01T13:00:00Z,UCGIY_O-8vW4rfX98KlMkvRg,PT2M
Canada,CA,-wDKyUtL8Mk,I Used Fortnite Admin Cheats,1320861,81128,LazarBeam,2023-11-01T01:00:53Z,UCw1SQ6QRRtfAhrN_cjkrOgA,PT9M43S
Canada,CA,COY5f-DxNM0,Inside the NBA reacts to James Harden Trade to Clippers,969791,11149,House of Highlights,2023-10-31T23:19:23Z,UCqQo7ewe87aYAe7ub5UqXMw,PT11M6S
Canada,CA,m7oAcv6vI0I,Minecraft CHICKEN vs HUNTER,1259736,128257,Dream,2023-11-01T03:00:09Z,UCTkXRDQl0luXxVQrRQvWS6w,PT28M53S
Canada,CA,qSUE11N1GPM,N'acceptez pas son invitation... (Thread Horreur Halloween),3483635,350653,SQUEEZIE,2023-10-31T17:24:07Z,UCWeg2Pkate69NFdBeuRFTAw,PT25M45S
Canada,CA,5m5ybZD_z6A,Joe Tries to Shoot an Arrow Into the CyberTruck,3205927,88014,PowerfulJRE,2023-10-31T18:49:06Z,UCzQUP1qoWDoEbmsQxvdjxgQ,PT5M59S
Canada,CA,czjisEGe5Cw,The Problem With Science Communication,1305881,63259,Veritasium,2023-10-31T23:00:20Z,UCHnyfMqiRRG1u-2MsSQLbXA,PT16M34S
Canada,CA,3yeRC6VhA1w,Game Theory: Why YouTube Feels Boring,1339133,101617,The Game Theorists,2023-10-31T20:06:51Z,UCo_IB5145EVNcf8hw1Kku7w,PT17M10S
Canada,CA,1giQVuoTAFM,Mariah Carey - IT'S TIME!!,744030,63157,Mariah Carey,2023-11-01T04:00:10Z,UCurpiDXSkcUbgdMwHNZkrCg,PT35S
Canada,CA,hjqj3cdW1nQ,"Nouveau départ (local, bébé, argent ?)",2080664,152389,Michou,2023-10-31T17:33:54Z,UCo3i0nUzZjjLuM7VjAVz4zA,PT29M
Canada,CA,ctkW3V0Mh-k,Apple Event - October 30,7794620,132590,Apple,2023-10-31T00:35:10Z,UCE_M8A5yxnLfW0KghEeajjw,PT30M32S
Canada,CA,H9oT-7kDBFM,Why the US Interior is VASTLY Emptier than Canada’s,605300,17231,RealLifeLore,2023-10-31T14:30:07Z,UCP5tjEmvPItGyLhmjdwP7Ww,PT30M58S
Canada,CA,TvJRQMyPOt4,Cupidon - Hot (Clip Officiel),23401,1931,Cupidon LV,2023-10-31T22:00:10Z,UCxJnVrOWp1qxm9NeT8dDkuA,PT3M39S
Canada,CA,kLbn61Z4LDI,Sabrina Carpenter - Feather (Official Video),1952144,224027,SabrinaCarpenterVEVO,2023-10-31T04:00:31Z,UC4mYKePIas5YgGfYZ2J2OxQ,PT3M30S
Canada,CA,m-MofxPhGso,How to Get REVENGE | JonTron,612207,56335,JonTronShow,2023-10-31T17:21:48Z,UCdJdEguB1F1CiYe7OEi3SBg,PT15M17S
Canada,CA,KFEoS80xBCE,YoungBoy Never Broke Again - Return of Goldie [Official Music Video],673594,71873,YoungBoy Never Broke Again,2023-11-01T05:37:02Z,UClW4jraMKz6Qj69lJf-tODA,PT3M32S
Canada,CA,N5qSNobCNUw,Candy Games - Scott The Woz,327072,30364,Scott The Woz,2023-11-01T01:30:09Z,UC4rqhyiTs7XyuODcECvuiiQ,PT16M43S
Canada,CA,q521zkj_muA,My Full Thoughts on Geometry Dash 2.2,335756,22132,GD Colon,2023-10-31T20:00:07Z,UCFDsxSlQXpLLpVScy2NmbcQ,PT30M3S
Canada,CA,QZF8Of8s6Z0,Sonic Dream Team - Announce Trailer,357798,26303,Sonic the Hedgehog,2023-11-01T13:00:21Z,UCCOSYITWQHRSUxvlQ4_PSCg,PT30S
Canada,CA,qcfuA_UAz3I,Stop using Fandom,867055,60879,mossbag,2023-10-31T16:00:04Z,UCTvH45HvnOzqXvfNJqdc3xg,PT22M18S
Canada,CA,SyyOryf_tDo,Ghosts of the '72 Dolphins,256497,21186,EmpLemon,2023-10-31T20:16:41Z,UC7Ucs42FZy3uYzjrqzOIHsw,PT54M9S
Canada,CA,liV--bF1P_c,THE SHOCKING FINALE *After 5*,414149,38345,Dylan Is In Trouble,2023-10-31T18:19:37Z,UCF_votze88WRDSEREe9s3aQ,PT31M59S
Canada,CA,RgWwglvgEX8,New details emerge on death of ‘Friends’ star Matthew Perry,2701402,23594,TODAY,2023-10-30T12:15:03Z,UChDKyKQ59fYz3JO2fl0Z6sg,PT5M55S
