region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
Germany,DE,AP6P4iAQKoU,"BTS Folge 1: Die 7 vs. Wild Staffel, die es niemals hätte geben sollen",1212765,85981,7 vs. Wild,2023-10-31T16:55:10Z,UCT3-jVASfcjZvzCbUglMObA,PT22M26S
Germany,DE,GV4BiYeBJtw,XXXL LOCH WIRD GESPRENGT (CRAFT ATTACK 11 #4),440160,33111,Bastian,2023-10-31T16:03:16Z,UC5rz_m2sWRnpG--KyWHsQTg,PT33M7S
Germany,DE,q2iEa-goMYA,Ich habe ein altes Autohaus übernommen,330978,31818,Hagen Amstep,2023-11-01T10:03:17Z,UCh_XM4lbKHjAz_szr_VPmqQ,PT18M15S
Germany,DE,yOAULVh237o,MESSI GETROFFEN 😭❤️ | Eingeladen beim BALLON D´OR - VLOG | ViscaBarca,808064,126055,ViscaBarca,2023-10-31T11:44:10Z,UCPgivdyEmcyDE-ThW9IRK5Q,PT19M18S
Germany,DE,66A7oh5N0Ro,Battle Like Champions' Champion! (Clash of Clans Season Challenges),1772943,31100,Clash of Clans,2023-11-01T08:00:02Z,UCD1Em4q90ZUK2R5HKesszJg,PT1M5S
Germany,DE,k6sKH1GFQJY,Was jetzt?,60482,13476,maudado,2023-11-01T10:00:43Z,UCRRQqwv43DW2SoTHVrcxnEA,PT56S
Germany,DE,cZIh609BYfA,Ich fliege nach Südkorea und auch bisschen fast nach Norden,137727,13438,A.B.K,2023-10-31T20:03:59Z,UCNyMA98nFE0BKIk7DLTD6VQ,PT14M18S
Germany,DE,rmOCK5a6ywk,AUFS MAUL GELEGT? & AUTO VERGESSEN ABZUSCHLIEßEN!😂 Nachts durch Buxtehude | MontanaBlack Highlights,422114,15552,Die Crew,2023-10-31T13:00:45Z,UCSfMSePxSvUG8bGAhqzLUVw,PT42M3S
Germany,DE,zx32VrfZxyY,ICH WERDE __________ BAUEN (CRAFT ATTACK 11 #3),493194,44322,Bastian,2023-10-30T15:40:17Z,UC5rz_m2sWRnpG--KyWHsQTg,PT38M56S
Germany,DE,KetHJTLnrEk,🫐 Heidelbeere Anbau-Guide: So ernstest du 17 kg pro Pflanze,152223,4008,Wurzelwerk,2023-10-31T15:38:32Z,UCzrwDTU6gomqaAV8Wxr6G5g,PT17M
Germany,DE,ma-aaQEwNAA,"Urs Kalecinski über Mr.Olympia, Geld, Kinder kriegen und Schulabbruch",93825,7003,Leeroy Matata,2023-10-31T19:15:01Z,UCd2oXukLnWNi2jodUQXPlhw,PT56M48S
Germany,DE,APJAQoSCwuA,The Beatles - Now And Then - The Last Beatles Song (Short Film),584282,54713,TheBeatlesVEVO,2023-11-01T19:30:00Z,UC4dqLAF7yT-_DqeYisQ001w,PT12M25S
Germany,DE,czjisEGe5Cw,The Problem With Science Communication,1308849,63306,Veritasium,2023-10-31T23:00:20Z,UCHnyfMqiRRG1u-2MsSQLbXA,PT16M34S
Germany,DE,2KFkwPbUfjk,Dieses Smart-Sparschwein zählt dein Geld!,165818,9384,Tomary,2023-10-31T21:15:08Z,UCzidBg7JPR53EP5B5x65jpA,PT9M28S
Germany,DE,1YYupX8Juis,WER F*CKT AM HÄRTESTEN?! 😳😂 STRASSENUMFRAGE in CRAFT ATTACK 11,131140,12399,StegiTrash,2023-10-31T11:02:38Z,UCqbFEaUkg7tjk4UR3xc-r1Q,PT20M40S
Germany,DE,stywxhzpv1g,Einfach so 25.000€ monatlich! Was machen eigentlich BULLSHITTV?,155608,6799,Hey Aaron!!!,2023-10-31T17:03:00Z,UCCprsL2xVSoReeKCCnWkd7Q,PT22M27S
Germany,DE,ctkW3V0Mh-k,Apple Event - October 30,7794620,132600,Apple,2023-10-31T00:35:10Z,UCE_M8A5yxnLfW0KghEeajjw,PT30M32S
Germany,DE,m7oAcv6vI0I,Minecraft CHICKEN vs HUNTER,1263736,128352,Dream,2023-11-01T03:00:09Z,UCTkXRDQl0luXxVQrRQvWS6w,PT28M53S
Germany,DE,CVF0RWCmqok,How Heidi Klum Came Up With EPIC Peacock Halloween Costume Reveal (Exclusive),55607,481,Entertainment Tonight,2023-11-01T04:35:45Z,UCdtXPiqI2cLorKaPrfpKc4g,PT2M21S
Germany,DE,0oF1GKu1mAQ,LIL LANO X TRIPPIE BOI - MAD (Official Video),37843,4882,Lil Lano,2023-10-31T17:52:59Z,UCngIAcMfe0PTtj8tgfZ48Dg,PT2M15S
Germany,DE,bjhf5QsBz7E,LIVE: #Betze-PK nach #FCKKOE,39873,935,1. FC Kaiserslautern,2023-10-31T22:51:25Z,UCWH1jN1Jxd5lVhXetdlkRyw,PT16M31S
Germany,DE,5m5ybZD_z6A,Joe Tries to Shoot an Arrow Into the CyberTruck,3208497,88042,PowerfulJRE,2023-10-31T18:49:06Z,UCzQUP1qoWDoEbmsQxvdjxgQ,PT5M59S
Germany,DE,V3dbG9pAi8I,Behind the scenes: An Apple Event shot on iPhone,1170856,48289,Apple,2023-10-31T16:00:15Z,UCE_M8A5yxnLfW0KghEeajjw,PT2M17S
Germany,DE,HwABIjZKrD0,"1. FC Kaiserslautern – 1. FC Köln | DFB-Pokal 2023/24, 2. Runde | sportstudio",281895,3905,sportstudio fußball,2023-10-31T22:00:22Z,UClCIWcZNvq15p0Y-E4ToGOw,PT6M26S
Germany,DE,rAO8xk2l05Q,LIONEL MESSI WINS HIS 8TH BALLON D’OR 🐐,4144688,103129,CBS Sports Golazo,2023-10-30T22:32:55Z,UCET00YnetHT7tOpu12v8jxg,PT13M18S
Germany,DE,MF7CDLMt3U8,"FC Bayern München – SV Darmstadt 98 | Bundesliga, 9. Spieltag Saison 2023/24 | sportstudio",1882058,31184,sportstudio fußball,2023-10-29T23:00:08Z,UClCIWcZNvq15p0Y-E4ToGOw,PT9M48S
