region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
France,FR,qSUE11N1GPM,N'acceptez pas son invitation... (Thread Horreur Halloween),3489901,350906,SQUEEZIE,2023-10-31T17:24:07Z,UCWeg2Pkate69NFdBeuRFTAw,PT25M45S
France,FR,hjqj3cdW1nQ,"Nouveau départ (local, bébé, argent ?)",2083974,152479,Michou,2023-10-31T17:33:54Z,UCo3i0nUzZjjLuM7VjAVz4zA,PT29M
France,FR,Zv3JXECFO6I,Il est où le truc ?,539926,46290,Maxime Biaggi,2023-10-31T18:15:04Z,UCwsttsWPse6KzUzUbQDGRPA,PT32M9S
France,FR,U3zVnJsR9zI,Résumé NBA VF : WEMBY se mesure à KD dans un choc au suspense insoutenable,316766,6690,NBA Extra - beIN SPORTS France,2023-11-01T07:37:02Z,UCcMGbm0EYWh1SZZ8MsM75tw,PT9M59S
France,FR,YyalpipMTO0,HOT ONES : Alexandre Astier a hacké le concept,1642437,76762,Studio Bagel,2023-10-30T16:30:08Z,UCZ8kV8vuMdDLSerCIFfWnFQ,PT33M53S
France,FR,e2RPIxLeCWI,Tous les GTA en une seule vidéo !,393920,20846,CYRILmp4,2023-10-31T16:58:51Z,UC-4M8AN08hw39nn2v91VuMQ,PT55M13S
France,FR,oZw7bX2m8vA,LE LABYRINTHE DE L'HORREUR (ft. Maghla & Joyca),1401407,92246,GOTAGA,2023-10-30T20:25:17Z,UCCFqUJYKT97UerMmb6DM0bw,PT46M51S
France,FR,15JBc6w3WJI,Je répond a vos question après 1 mois d’expédition… (il me reste 6 mois avant l’Everest),550320,41125,Inoxtag 2.0,2023-10-31T17:30:00Z,UCo6Z9cEI8Hf3nyrLUfDITtA,PT17M24S
France,FR,nTStql1O3Jw,Apprendre À LEVER Une Moto Sans Expérience (mdr j’ai même pas le permis),260883,18949,Tristan,2023-10-31T19:03:58Z,UCTAqiGK5Sjjb1IRDGYB04Zg,PT30M17S
France,FR,66A7oh5N0Ro,Battle Like Champions' Champion! (Clash of Clans Season Challenges),1772943,31100,Clash of Clans,2023-11-01T08:00:02Z,UCD1Em4q90ZUK2R5HKesszJg,PT1M5S
France,FR,EWkkEcJMNyw,Cache-Cache dans le Plus Grand Magasin Halloween (Ça tourne mal !!!),183914,4481,Swan & Néo,2023-11-01T08:00:07Z,UCzYC9ss2P77Ry2LzIDL5Xsw,PT17M5S
