region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
India,IN,W3A2mQdCS6g,Thangalaan - Teaser (HDR) | Chiyaan Vikram | K E Gnanavelraja | Pa Ranjith | G V Prakash Kumar,4830046,316530,Junglee Music Tamil,2023-11-01T06:00:01Z,UCXS0LXj5BO9CS8uVBFPBvrg,PT1M33S
India,IN,767H2DWlSp0,Karan Fulfilled His Promise Of Bringing Preeta Back | Kundali Bhagya | Preview 1685 | Zee TV,1397109,18727,Zee TV,2023-11-01T07:45:00Z,UCppHT7SZKKvar4Oc9J4oljQ,PT36S
India,IN,ZWn8B2DDtKM,GREAT KHALI VS 11 SUPER MODELS :DATING CHALLENGE ❤️,2776361,271022,Fukra Insaan,2023-10-31T08:37:53Z,UClfos9f7uDdoun8ZyE9jYFg,PT19M54S
India,IN,fpD6YKicNFY,I BUILT A HOUSE AND GOT ATTACKED!,1475490,101176,Ujjwal,2023-10-31T07:29:28Z,UCl_vAxZpvbO-PFXdDu7EdHw,PT35M37S
India,IN,MMO5Askw3Ak,"Rakka Rakka - Video Song | Bandra | Dileep, Tamannaah | Sam C.S | Shankar Mahadevan, Nakshathra",1671270,43789,Saregama Malayalam,2023-10-31T12:30:08Z,UCoRF8GByEjmM_yHwUGIDGyQ,PT3M26S
India,IN,ieiUISyLNfM,"Extra - Ordinary Man Teaser | Nithiin, Sreeleela | Vakkantham Vamsi | Harris Jayaraj",5685145,137257,Aditya Music India,2023-10-30T13:24:02Z,UCNApqoVYJbYSrni4YsbXzyQ,PT1M43S
India,IN,-n96oYVQz4Y,EXCLUSIVE: Decoding Leo With Lokesh Kanagaraj | Fake Flashback | Vijay | LCU,2016057,84340,Cineulagam,2023-10-29T17:29:21Z,UCnw6jUU0KaCjgAiRsbuiCgg,PT51M10S
India,IN,H-f6J6DUdqw,Karwa Chauth | the mridul | Pragati | Nitin,6647771,239757,The MriDul,2023-10-30T13:30:07Z,UC0zXnLIFedO97pFsyMxZcFg,PT19M25S
India,IN,d0QpixL-EPs,Mahanadhi | 1st to 3rd November 2023 - Promo,1606536,31407,Vijay Television,2023-11-01T07:32:49Z,UCvrhwpnp2DHYQ1CbXby9ypQ,PT40S
India,IN,kJWwOgclXwE,SPICY CHICKEN WINGS | Hot & Sweet Chicken Recipe Cooking In Village | Spicy Honey Chicken Wings Fry,4667953,147246,Village Cooking Channel,2023-10-30T14:20:05Z,UCk3JZr7eS3pg5AGEvBdEvFg,PT8M40S
India,IN,TB6Z1YVl5XA,Mr. Innocent Episode - 9 | Ft. Bala Kumar & Teena Sravya | Web Series | Striker,649014,53808,STRIKER,2023-10-30T12:46:09Z,UC0B7Snfw0Yg3OwpDuyW7PGQ,PT28M12S
India,IN,ltCHn5t9N-A,Homemade Donut Making Recipe | ഇനി ഡോണട്ട് വീട്ടിൽ തന്നെ ഉണ്ടാകാം | M4 Tech |,800424,41384,M4 Tech,2023-10-30T15:07:47Z,UClfll_TO6FpOPLUg4Aawhlw,PT15M38S
India,IN,ODC7TPq-iq8,#karwachauth ओ साथी जनमों जनम दिया और बाती है हम #amritadixit का #करवाचौथ का भावुक करने वाला #video,250827,1246,Amrita Dixit Official,2023-10-31T23:40:00Z,UC93H0w1TbqF6p0-i44sCdlQ,PT3M41S
India,IN,RR3I5CbE5I0,Leo Post-release Lokesh Kanagaraj Interview with Sudhir Srinivasan | Leo | Vijay | Trisha | Part 1,707923,26456,Cinema Express,2023-10-30T14:30:11Z,UC2MgcperJNAFDQgafrijUnA,PT50M12S
India,IN,cwnMM0Rrazg,మేము ఇండియా వెళ్తున్నాం😃😍 !! ఇంతకీ కార్తీక్ వస్తున్నాడా😕? ఇంతకీ ఎపుడు? ఎందుకు?? INDIA series,319388,6756,Americalo Ammakutti,2023-11-01T03:00:18Z,UCruCaimszs8t7aWBWow9IIg,PT16M35S
