region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
USA,US,KFEoS80xBCE,YoungBoy Never Broke Again - Return of Goldie [Official Music Video],684904,72499,YoungBoy Never Broke Again,2023-11-01T05:37:02Z,UClW4jraMKz6Qj69lJf-tODA,PT3M32S
USA,US,APJAQoSCwuA,The Beatles - Now And Then - The Last Beatles Song (Short Film),595346,56495,TheBeatlesVEVO,2023-11-01T19:30:00Z,UC4dqLAF7yT-_DqeYisQ001w,PT12M25S
USA,US,5m5ybZD_z6A,Joe Tries to Shoot an Arrow Into the CyberTruck,3210218,88142,PowerfulJRE,2023-10-31T18:49:06Z,UCzQUP1qoWDoEbmsQxvdjxgQ,PT5M59S
USA,US,0-kASUEEXn8,Mario Kart 8 Deluxe - Booster Course Pass Wave 6 - Course Overview,874543,52000,Nintendo of America,2023-11-01T13:00:00Z,UCGIY_O-8vW4rfX98KlMkvRg,PT2M
USA,US,-wDKyUtL8Mk,I Used Fortnite Admin Cheats,1330440,81660,LazarBeam,2023-11-01T01:00:53Z,UCw1SQ6QRRtfAhrN_cjkrOgA,PT9M43S
USA,US,1giQVuoTAFM,Mariah Carey - IT'S TIME!!,751614,63946,Mariah Carey,2023-11-01T04:00:10Z,UCurpiDXSkcUbgdMwHNZkrCg,PT35S
USA,US,m7oAcv6vI0I,Minecraft CHICKEN vs HUNTER,1267712,128806,Dream,2023-11-01T03:00:09Z,UCTkXRDQl0luXxVQrRQvWS6w,PT28M53S
USA,US,66A7oh5N0Ro,Battle Like Champions' Champion! (Clash of Clans Season Challenges),1776406,31170,Clash of Clans,2023-11-01T08:00:02Z,UCD1Em4q90ZUK2R5HKesszJg,PT1M5S
USA,US,COY5f-DxNM0,Inside the NBA reacts to James Harden Trade to Clippers,971066,11158,House of Highlights,2023-10-31T23:19:23Z,UCqQo7ewe87aYAe7ub5UqXMw,PT11M6S
USA,US,3yeRC6VhA1w,Game Theory: Why YouTube Feels Boring,1342539,101892,The Game Theorists,2023-10-31T20:06:51Z,UCo_IB5145EVNcf8hw1Kku7w,PT17M10S
USA,US,QZF8Of8s6Z0,Sonic Dream Team - Announce Trailer,360384,26466,Sonic the Hedgehog,2023-11-01T13:00:21Z,UCCOSYITWQHRSUxvlQ4_PSCg,PT30S
USA,US,kLbn61Z4LDI,Sabrina Carpenter - Feather (Official Video),1961231,224817,SabrinaCarpenterVEVO,2023-10-31T04:00:31Z,UC4mYKePIas5YgGfYZ2J2OxQ,PT3M30S
